game_uuid,genre_id
11B8483E-3610-4691-8867-3EFB7D024E41,5
612527D8-58FC-41B4-BBC6-1EE5190B65C5,5
B4711F07-E804-4505-86C3-C03F76CCA10B,12
B4711F07-E804-4505-86C3-C03F76CCA10B,31
827EC8B1-59BB-4C90-91C3-DA366362F7F7,31
827EC8B1-59BB-4C90-91C3-DA366362F7F7,12
827EC8B1-59BB-4C90-91C3-DA366362F7F7,5
BDBBB319-2173-439F-A836-5D77E02C8919,32
BDBBB319-2173-439F-A836-5D77E02C8919,13
BDBBB319-2173-439F-A836-5D77E02C8919,31
BFEC2B32-5875-4289-B147-F8A48BB75730,15
BFEC2B32-5875-4289-B147-F8A48BB75730,31
BFEC2B32-5875-4289-B147-F8A48BB75730,13
BFEC2B32-5875-4289-B147-F8A48BB75730,32
32936171-2570-4ABD-A769-6649D25E9B9A,8
32936171-2570-4ABD-A769-6649D25E9B9A,31
9003A26E-470F-4081-850D-E89B803DFADE,36
9003A26E-470F-4081-850D-E89B803DFADE,15
A3277DA9-028F-4C07-A668-17F424EC2AB9,5
A3277DA9-028F-4C07-A668-17F424EC2AB9,33
A3277DA9-028F-4C07-A668-17F424EC2AB9,32
A3277DA9-028F-4C07-A668-17F424EC2AB9,8
69190FAA-B594-4D2B-8194-17677CBE6651,8
69190FAA-B594-4D2B-8194-17677CBE6651,31
8C6E9DEC-400C-4F4C-99D0-EA50A2B897DF,15
8C6E9DEC-400C-4F4C-99D0-EA50A2B897DF,31
8C6E9DEC-400C-4F4C-99D0-EA50A2B897DF,5
8C6E9DEC-400C-4F4C-99D0-EA50A2B897DF,13
8C6E9DEC-400C-4F4C-99D0-EA50A2B897DF,32
8C6E9DEC-400C-4F4C-99D0-EA50A2B897DF,12
754E5F62-5C9B-4429-A7BF-0CB300754D92,32
754E5F62-5C9B-4429-A7BF-0CB300754D92,13
754E5F62-5C9B-4429-A7BF-0CB300754D92,31
34E7DB77-0006-4614-876D-8A98318DC9BB,32
34E7DB77-0006-4614-876D-8A98318DC9BB,13
34E7DB77-0006-4614-876D-8A98318DC9BB,15
CCBAE76E-227F-476E-8801-A56096772637,32
CCBAE76E-227F-476E-8801-A56096772637,13
CCBAE76E-227F-476E-8801-A56096772637,15
2EEC0830-348C-456E-BBB6-3EF1BE172854,32
2EEC0830-348C-456E-BBB6-3EF1BE172854,8
2EEC0830-348C-456E-BBB6-3EF1BE172854,14
ED4810CA-4994-4FC3-A2FB-C26D9F5218E6,12
ED4810CA-4994-4FC3-A2FB-C26D9F5218E6,5
F2A05D6D-FB3D-423A-B507-D54DDED77C21,12
F2A05D6D-FB3D-423A-B507-D54DDED77C21,16
F2A05D6D-FB3D-423A-B507-D54DDED77C21,31
348388F9-5C37-4C2F-BB54-4261707CEB7A,12
348388F9-5C37-4C2F-BB54-4261707CEB7A,31
CF4F58E7-098E-495F-B6D9-42389583FD28,12
CF4F58E7-098E-495F-B6D9-42389583FD28,31
5EB7F59F-8E75-4CBC-91B7-D9A511AB2C26,32
5EB7F59F-8E75-4CBC-91B7-D9A511AB2C26,31
73DCAB2D-A15B-4466-84AA-F4B0F0E90D38,15
73DCAB2D-A15B-4466-84AA-F4B0F0E90D38,31
73DCAB2D-A15B-4466-84AA-F4B0F0E90D38,12
73DCAB2D-A15B-4466-84AA-F4B0F0E90D38,35
73DCAB2D-A15B-4466-84AA-F4B0F0E90D38,32
73DCAB2D-A15B-4466-84AA-F4B0F0E90D38,16
ADC388D0-8265-4610-9528-BF14F7955AD2,14
ADC388D0-8265-4610-9528-BF14F7955AD2,13
ADC388D0-8265-4610-9528-BF14F7955AD2,10
13350B24-D493-45C9-BB7B-8688D5152358,5
89697B50-1738-4C40-B4D8-A3648683D164,5
1D745CB3-38EC-4FA5-B1E2-C2DEB8486B75,12
1D745CB3-38EC-4FA5-B1E2-C2DEB8486B75,31
62D2D09F-F4DF-46BF-B228-3641FB82AADB,8
62D2D09F-F4DF-46BF-B228-3641FB82AADB,5
AA183870-01D0-432F-AFC9-B16071B6936D,15
AA183870-01D0-432F-AFC9-B16071B6936D,31
AA183870-01D0-432F-AFC9-B16071B6936D,12
AA183870-01D0-432F-AFC9-B16071B6936D,24
AA183870-01D0-432F-AFC9-B16071B6936D,16
BF489BD7-5502-4730-BF91-A32A10174E79,25
BF489BD7-5502-4730-BF91-A32A10174E79,12
BF489BD7-5502-4730-BF91-A32A10174E79,31
AD3EECFC-63E3-4A19-A384-37B09F3C5246,9
AD3EECFC-63E3-4A19-A384-37B09F3C5246,2
AD3EECFC-63E3-4A19-A384-37B09F3C5246,31
40C59248-9045-4361-8E4F-7407287C854C,9
40C59248-9045-4361-8E4F-7407287C854C,31
40C59248-9045-4361-8E4F-7407287C854C,5
0A4B26ED-52E2-4BA2-A360-8884121FD269,5
96047C0E-8E74-4BEB-89BF-252389922624,5
C1D28D19-5070-4A88-98F3-CF772CA86423,5
6142E11F-EEF3-48A3-8BE4-067719B2DFA5,9
6142E11F-EEF3-48A3-8BE4-067719B2DFA5,5
76BDC120-5E2E-4489-9B70-5B746FFB50E7,5
035A15B6-E7A5-4038-B883-8BDCFF2B4E9B,5
E89155FA-6338-433A-90D0-CBF023A7AC54,9
E89155FA-6338-433A-90D0-CBF023A7AC54,8
E89155FA-6338-433A-90D0-CBF023A7AC54,5
52318F28-B92A-4F03-97AC-4093F5FFD637,5
88D9FA4C-35EB-438E-B26F-0FC9CB697520,5
85F33E24-EAB7-4209-A1F1-E57963277051,5
42368E57-9039-4855-9A5C-C375FD25F3FB,15
42368E57-9039-4855-9A5C-C375FD25F3FB,12
42368E57-9039-4855-9A5C-C375FD25F3FB,35
42368E57-9039-4855-9A5C-C375FD25F3FB,32
42368E57-9039-4855-9A5C-C375FD25F3FB,16
237B5649-4DAD-47B1-A85C-86AA433CC4B1,31
237B5649-4DAD-47B1-A85C-86AA433CC4B1,12
237B5649-4DAD-47B1-A85C-86AA433CC4B1,5
F62D48A2-B9CD-4B0A-AFB4-5F3BBDF751A5,9
F62D48A2-B9CD-4B0A-AFB4-5F3BBDF751A5,15
F62D48A2-B9CD-4B0A-AFB4-5F3BBDF751A5,13
F62D48A2-B9CD-4B0A-AFB4-5F3BBDF751A5,32
28DE3FA0-8563-48D0-9481-2A36CAC7C37A,9
28DE3FA0-8563-48D0-9481-2A36CAC7C37A,31
28DE3FA0-8563-48D0-9481-2A36CAC7C37A,8
28DE3FA0-8563-48D0-9481-2A36CAC7C37A,32
54811EBD-F8D2-4D97-ABDC-4BC680B7A6C0,9
54811EBD-F8D2-4D97-ABDC-4BC680B7A6C0,8
54811EBD-F8D2-4D97-ABDC-4BC680B7A6C0,31
C7416E16-ACC3-4212-9901-AB7997DA93AC,9
C7416E16-ACC3-4212-9901-AB7997DA93AC,15
C7416E16-ACC3-4212-9901-AB7997DA93AC,31
C7416E16-ACC3-4212-9901-AB7997DA93AC,8
CF0336F4-1F2E-4F45-B3D6-234A4EE1362E,13
CF0336F4-1F2E-4F45-B3D6-234A4EE1362E,15
3BBC5453-BBB2-46BB-8452-47198DED5C36,9
3BBC5453-BBB2-46BB-8452-47198DED5C36,13
3BBC5453-BBB2-46BB-8452-47198DED5C36,32
3BBC5453-BBB2-46BB-8452-47198DED5C36,35
