Date,Name,Year,Letterboxd URI,Rating
2015-02-15,Prince Avalanche,2013,https://boxd.it/3MO4,3
2015-02-15,August: Osage County,2013,https://boxd.it/4OhI,3
2015-02-15,Ender's Game,2013,https://boxd.it/2N9Y,3
2015-02-15,Sound City,2013,https://boxd.it/4VtQ,3
2015-02-15,The Way Way Back,2013,https://boxd.it/4Gwq,3
2015-02-15,Anchorman 2: The Legend Continues,2013,https://boxd.it/3GNk,3
2015-02-15,Oblivion,2013,https://boxd.it/2Bzq,2.5
2015-02-15,Elysium,2013,https://boxd.it/2cBm,2.5
2015-02-15,The Zero Theorem,2013,https://boxd.it/4WDW,2
2015-02-15,Man of Steel,2013,https://boxd.it/FRk,2
2015-02-15,White House Down,2013,https://boxd.it/3TOg,2.5
2015-02-15,The Heat,2013,https://boxd.it/4p9a,2.5
2015-02-15,Oz the Great and Powerful,2013,https://boxd.it/2cAI,2
2015-02-15,Pain & Gain,2013,https://boxd.it/4lp4,1.5
2015-02-15,Now You See Me,2013,https://boxd.it/2Bsu,1
2015-02-15,Gangster Squad,2013,https://boxd.it/2TVa,0.5
2015-02-15,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG,3
2015-02-22,The Imitation Game,2014,https://boxd.it/6aig,3
2015-02-23,The Theory of Everything,2014,https://boxd.it/7YtA,2.5
2015-02-23,Certified Copy,2010,https://boxd.it/IMW,4.5
2015-02-23,Love Me If You Dare,2003,https://boxd.it/20bm,4
2015-02-23,Bon Voyage,2003,https://boxd.it/1NEg,3.5
2015-02-23,Downfall,2004,https://boxd.it/2a04,3.5
2015-02-23,The Secret in Their Eyes,2009,https://boxd.it/1vWw,3.5
2015-02-23,The Lives of Others,2006,https://boxd.it/2a4A,3.5
2015-02-23,Amour,2012,https://boxd.it/34Q6,4
2015-02-23,The White Ribbon,2009,https://boxd.it/17eU,4.5
2015-02-23,Pan's Labyrinth,2006,https://boxd.it/28No,4.5
2015-02-23,Tell No One,2006,https://boxd.it/1Vns,4
